"#","Reference","Qty","Value","Footprint","DNP"
"1","Arduino_pro_mini1","1","~","Module:Arduino_pro_mini",""
"2","D1","1","BAV18","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"3","esp1_module1","1","~","RF_Module:ESP01_breakout",""
"4","J2, J3","2","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",""
"5","K2","1","TIANBO-HJR-4102-L","Relay_THT:Relay_SPDT_HJR-4102",""
"6","PS1","1","HLK-PM01","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx",""
"7","Q1","1","2N3904","Package_TO_SOT_THT:TO-92_Inline",""
"8","R1, R2, R3","3","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"9","VL6180","1","~","Sensor_Distance:vl6180_module",""
